{'loss': 0.4567, 'learning_rate': 0.00029645454545454544, 'epoch': 0.23, 'steps': 113}
{'loss': 0.4508, 'learning_rate': 0.00029618181818181816, 'epoch': 0.23, 'steps': 114}
{'loss': 0.4458, 'learning_rate': 0.00029590909090909087, 'epoch': 0.23, 'steps': 115}
{'loss': 0.4328, 'learning_rate': 0.00029563636363636364, 'epoch': 0.24, 'steps': 116}
{'loss': 0.4324, 'learning_rate': 0.0002953636363636363, 'epoch': 0.24, 'steps': 117}
{'loss': 0.4279, 'learning_rate': 0.0002950909090909091, 'epoch': 0.24, 'steps': 118}
{'loss': 0.4333, 'learning_rate': 0.0002948181818181818, 'epoch': 0.24, 'steps': 119}
{'loss': 0.4271, 'learning_rate': 0.0002945454545454545, 'epoch': 0.24, 'steps': 120}
{'loss': 0.4343, 'learning_rate': 0.0002942727272727273, 'epoch': 0.25, 'steps': 121}
{'loss': 0.4092, 'learning_rate': 0.000294, 'epoch': 0.25, 'steps': 122}
{'loss': 0.3985, 'learning_rate': 0.0002937272727272727, 'epoch': 0.25, 'steps': 123}
{'loss': 0.3996, 'learning_rate': 0.0002934545454545454, 'epoch': 0.25, 'steps': 124}
{'loss': 0.3999, 'learning_rate': 0.00029318181818181814, 'epoch': 0.25, 'steps': 125}
{'loss': 0.3936, 'learning_rate': 0.00029290909090909085, 'epoch': 0.26, 'steps': 126}
{'loss': 0.3807, 'learning_rate': 0.0002926363636363636, 'epoch': 0.26, 'steps': 127}
{'loss': 0.3816, 'learning_rate': 0.00029236363636363634, 'epoch': 0.26, 'steps': 128}
{'loss': 0.3653, 'learning_rate': 0.00029209090909090905, 'epoch': 0.26, 'steps': 129}
{'loss': 0.3705, 'learning_rate': 0.0002918181818181818, 'epoch': 0.26, 'steps': 130}
{'loss': 0.3658, 'learning_rate': 0.00029154545454545454, 'epoch': 0.27, 'steps': 131}
{'loss': 0.3429, 'learning_rate': 0.00029127272727272726, 'epoch': 0.27, 'steps': 132}
{'loss': 0.3439, 'learning_rate': 0.00029099999999999997, 'epoch': 0.27, 'steps': 133}
{'loss': 0.3433, 'learning_rate': 0.0002907272727272727, 'epoch': 0.27, 'steps': 134}
{'loss': 0.3263, 'learning_rate': 0.0002904545454545454, 'epoch': 0.27, 'steps': 135}
{'loss': 0.3282, 'learning_rate': 0.0002901818181818182, 'epoch': 0.28, 'steps': 136}
{'loss': 0.3279, 'learning_rate': 0.0002899090909090909, 'epoch': 0.28, 'steps': 137}
{'loss': 0.3032, 'learning_rate': 0.0002896363636363636, 'epoch': 0.28, 'steps': 138}
{'loss': 0.3089, 'learning_rate': 0.0002893636363636364, 'epoch': 0.28, 'steps': 139}
{'loss': 0.3076, 'learning_rate': 0.00028909090909090904, 'epoch': 0.28, 'steps': 140}
{'loss': 0.3142, 'learning_rate': 0.0002888181818181818, 'epoch': 0.29, 'steps': 141}
{'loss': 0.2911, 'learning_rate': 0.0002885454545454545, 'epoch': 0.29, 'steps': 142}
{'loss': 0.3045, 'learning_rate': 0.00028827272727272724, 'epoch': 0.29, 'steps': 143}
{'loss': 0.284, 'learning_rate': 0.00028799999999999995, 'epoch': 0.29, 'steps': 144}
{'loss': 0.2851, 'learning_rate': 0.0002877272727272727, 'epoch': 0.3, 'steps': 145}
{'loss': 0.2778, 'learning_rate': 0.00028745454545454544, 'epoch': 0.3, 'steps': 146}
{'loss': 0.2666, 'learning_rate': 0.00028718181818181815, 'epoch': 0.3, 'steps': 147}
{'loss': 0.2478, 'learning_rate': 0.0002869090909090909, 'epoch': 0.3, 'steps': 148}
{'loss': 0.2535, 'learning_rate': 0.0002866363636363636, 'epoch': 0.3, 'steps': 149}
{'loss': 0.3446, 'learning_rate': 0.00028636363636363636, 'epoch': 0.31, 'steps': 150}
{'loss': 0.6171, 'learning_rate': 0.00028609090909090907, 'epoch': 0.31, 'steps': 151}
{'loss': 0.5737, 'learning_rate': 0.0002858181818181818, 'epoch': 0.31, 'steps': 152}
{'loss': 0.5563, 'learning_rate': 0.0002855454545454545, 'epoch': 0.31, 'steps': 153}
{'loss': 0.5359, 'learning_rate': 0.00028527272727272727, 'epoch': 0.31, 'steps': 154}
{'loss': 0.5153, 'learning_rate': 0.000285, 'epoch': 0.32, 'steps': 155}
{'loss': 0.5004, 'learning_rate': 0.0002847272727272727, 'epoch': 0.32, 'steps': 156}
{'loss': 0.4802, 'learning_rate': 0.0002844545454545454, 'epoch': 0.32, 'steps': 157}
{'loss': 0.4822, 'learning_rate': 0.00028418181818181814, 'epoch': 0.32, 'steps': 158}
{'loss': 0.4629, 'learning_rate': 0.0002839090909090909, 'epoch': 0.32, 'steps': 159}
{'loss': 0.4518, 'learning_rate': 0.0002836363636363636, 'epoch': 0.33, 'steps': 160}
{'loss': 0.451, 'learning_rate': 0.00028336363636363634, 'epoch': 0.33, 'steps': 161}
{'loss': 0.4501, 'learning_rate': 0.00028309090909090905, 'epoch': 0.33, 'steps': 162}
{'loss': 0.4387, 'learning_rate': 0.0002828181818181818, 'epoch': 0.33, 'steps': 163}
{'loss': 0.4309, 'learning_rate': 0.0002825454545454545, 'epoch': 0.33, 'steps': 164}
{'loss': 0.4323, 'learning_rate': 0.00028227272727272725, 'epoch': 0.34, 'steps': 165}
{'loss': 0.4329, 'learning_rate': 0.00028199999999999997, 'epoch': 0.34, 'steps': 166}
